,state_x,year,per 100k of its population
5,Alaska,2020,0.008181174843978178
198,Nevada,2020,0.0038652148060918366
35,Colorado,2020,0.0031175773514240572
17,Arkansas,2020,0.0029885200981297176
216,Oklahoma,2020,0.0027782316959361797
158,Montana,2020,0.002766953353778044
169,North Dakota,2020,0.002567084331287367
23,Arizona,2020,0.0022372922499357475
128,Maine,2020,0.0022020627455758726
11,Alabama,2020,0.002189368862676615
192,New Mexico,2020,0.0018890004448596047
164,North Carolina,2020,0.0015326568952126313
56,Florida,2020,0.0015321623867412797
283,Wisconsin,2020,0.0015270496484562038
146,Missouri,2020,0.00146224650129092
122,Maryland,2020,0.001456965135148086
62,Georgia,2020,0.0014003107569631854
104,Kentucky,2020,0.001331606387804616
92,Indiana,2020,0.0013263522013320114
277,Washington,2020,0.0012978112024726938
110,Louisiana,2020,0.0012881736853167737
260,Utah,2020,0.0012476769814202184
222,Oregon,2020,0.0011800089491878706
237,South Carolina,2020,0.0011722355998183035
254,Texas,2020,0.0011322500673774567
41,Connecticut,2020,0.0011092795672922263
29,California,2020,0.001062263218051049
98,Kansas,2020,0.0010211444987542038
174,Nebraska,2020,0.0010196257565623112
152,Mississippi,2020,0.0010130757689498354
248,Tennessee,2020,0.0010129014707329356
50,Delaware,2020,0.001010154068698558
266,Virginia,2020,0.0009268492351118759
180,New Hampshire,2020,0.0007259375301717786
68,Hawaii,2020,0.0006871572373805291
74,Iowa,2020,0.0006113186877677576
80,Idaho,2020,0.0005437424487767426
140,Minnesota,2020,0.0005257168411988166
210,Ohio,2020,0.0005084983636522658
228,Pennsylvania,2020,0.00046144262345512857
116,Massachusetts,2020,0.0004267475704193947
204,New York,2020,0.00039601511767910983
186,New Jersey,2020,0.0003229628525973857
86,Illinois,2020,0.00023433858598066284
134,Michigan,2020,0.0001984652483876931
4,Alaska,2019,0.008181174843978178
215,Oklahoma,2019,0.008082128569996159
288,West Virginia,2019,0.006690022277774185
191,New Mexico,2019,0.005667001334578814
16,Arkansas,2019,0.005644982407578355
34,Colorado,2019,0.005542359735864991
157,Montana,2019,0.005533906707556088
151,Mississippi,2019,0.005403070767732456
67,Hawaii,2019,0.004810100661663704
22,Arizona,2019,0.004334753734250511
247,Tennessee,2019,0.004196306093036447
109,Louisiana,2019,0.0040792166701697835
145,Missouri,2019,0.003899324003442454
276,Washington,2019,0.0038934336074180815
221,Oregon,2019,0.003776028637401186
259,Utah,2019,0.0034311116989056
242,South Dakota,2019,0.0033834573746400845
79,Idaho,2019,0.0032624546926604556
271,Vermont,2019,0.003110047474874704
97,Kansas,2019,0.0030634334962626113
173,Nebraska,2019,0.003058877269686934
253,Texas,2019,0.0029850229049042036
163,North Carolina,2019,0.002969522734474473
121,Maryland,2019,0.002913930270296172
197,Nevada,2019,0.002898911104568877
282,Wisconsin,2019,0.002884427113750607
28,California,2019,0.0028074099334206293
236,South Carolina,2019,0.0027352163995760415
61,Georgia,2019,0.002707267463462158
103,Kentucky,2019,0.002663212775609232
55,Florida,2019,0.002646462304371301
127,Maine,2019,0.0022020627455758726
10,Alabama,2019,0.002189368862676615
91,Indiana,2019,0.002063214535405351
209,Ohio,2019,0.0019492437273336855
139,Minnesota,2019,0.0017523894706627222
293,Wyoming,2019,0.0017335499115022771
73,Iowa,2019,0.0015282967194193938
179,New Hampshire,2019,0.0014518750603435572
46,DC,2019,0.001450231674510003
40,Connecticut,2019,0.0011092795672922263
133,Michigan,2019,0.0010915588661323122
185,New Jersey,2019,0.0010765428419912857
265,Virginia,2019,0.0010427053895008605
227,Pennsylvania,2019,0.0009228852469102571
203,New York,2019,0.0008910340147779972
85,Illinois,2019,0.0007811286199355428
115,Massachusetts,2019,0.0004267475704193947
3,Alaska,2018,0.009544703984641209
190,New Mexico,2018,0.008972752113083121
214,Oklahoma,2018,0.008082128569996159
15,Arkansas,2018,0.006973213562302675
292,Wyoming,2018,0.0069341996460091085
66,Hawaii,2018,0.006871572373805291
21,Arizona,2018,0.006851707515428228
78,Idaho,2018,0.006524909385320911
33,Colorado,2018,0.0062351547028481145
196,Nevada,2018,0.006119923442978741
258,Utah,2018,0.005614546416390982
168,North Dakota,2018,0.005134168662574734
156,Montana,2018,0.004611588922963407
102,Kentucky,2018,0.004216753561381284
220,Oregon,2018,0.003776028637401186
60,Georgia,2018,0.0036408079681042814
246,Tennessee,2018,0.003617505252617627
287,West Virginia,2018,0.0033450111388870925
144,Missouri,2018,0.0032494366695353777
270,Vermont,2018,0.003110047474874704
150,Mississippi,2018,0.0030392273068495066
108,Louisiana,2018,0.0030057385990724717
54,Florida,2018,0.002878608120544222
72,Iowa,2018,0.002750934094954909
90,Indiana,2018,0.002652704402664023
208,Ohio,2018,0.002457742090985951
27,California,2018,0.0024280302126881118
252,Texas,2018,0.002401742567164302
162,North Carolina,2018,0.0023947763987697364
9,Alabama,2018,0.0023884023956472164
235,South Carolina,2018,0.002344471199636607
138,Minnesota,2018,0.0021028673647952665
264,Virginia,2018,0.002085410779001721
275,Washington,2018,0.00207649792395631
96,Kansas,2018,0.0020422889975084076
120,Maryland,2018,0.0019426201801974478
281,Wisconsin,2018,0.001696721831618004
132,Michigan,2018,0.0016869546112953915
226,Pennsylvania,2018,0.00161504918209295
84,Illinois,2018,0.0014841443778775315
126,Maine,2018,0.001468041830383915
178,New Hampshire,2018,0.0014518750603435572
45,DC,2018,0.001450231674510003
184,New Jersey,2018,0.0012918514103895428
241,South Dakota,2018,0.0011278191248800282
231,Rhode Island,2018,0.0009112621983836031
202,New York,2018,0.0006930264559384422
172,Nebraska,2018,0.0005098128782811556
114,Massachusetts,2018,0.0004267475704193947
39,Connecticut,2018,0.0002773198918230566
2,Alaska,2017,0.009544703984641209
189,New Mexico,2017,0.008500502001868221
125,Maine,2017,0.006606188236727617
213,Oklahoma,2017,0.006061596427497119
149,Mississippi,2017,0.0057407626907157346
155,Montana,2017,0.005533906707556088
20,Arizona,2017,0.005453399859218385
49,Delaware,2017,0.00505077034349279
143,Missouri,2017,0.005036626837779836
286,West Virginia,2017,0.005017516708330639
195,Nevada,2017,0.004831518507614795
32,Colorado,2017,0.004676366027136086
8,Alabama,2017,0.004179704192382628
95,Kansas,2017,0.004084577995016815
107,Louisiana,2017,0.0040792166701697835
280,Wisconsin,2017,0.00407213239588321
274,Washington,2017,0.0038934336074180815
167,North Dakota,2017,0.003850626496931051
101,Kentucky,2017,0.003772884765446412
26,California,2017,0.0036167533376500003
245,Tennessee,2017,0.0034728050425129214
240,South Dakota,2017,0.0033834573746400845
14,Arkansas,2017,0.0033205778868107974
44,DC,2017,0.002900463349020006
207,Ohio,2017,0.0028814907273628397
89,Indiana,2017,0.0028000768694786903
77,Idaho,2017,0.0027187122438837134
53,Florida,2017,0.002600033141136717
219,Oregon,2017,0.0025960196882133155
263,Virginia,2017,0.002548835396557659
59,Georgia,2017,0.0024272053120695213
234,South Carolina,2017,0.002344471199636607
257,Utah,2017,0.002183434717485382
161,North Carolina,2017,0.002107403230917368
65,Hawaii,2017,0.0020614717121415875
251,Texas,2017,0.0020586364861408303
291,Wyoming,2017,0.0017335499115022771
137,Minnesota,2017,0.00157715052359645
83,Illinois,2017,0.0015622572398710855
269,Vermont,2017,0.001555023737437352
225,Pennsylvania,2017,0.0015381420781837617
71,Iowa,2017,0.0015282967194193938
119,Maryland,2017,0.001456965135148086
177,New Hampshire,2017,0.0014518750603435572
38,Connecticut,2017,0.001386599459115283
131,Michigan,2017,0.0012900241145200053
